"unit","sex","age","nace_r2","geo","time","values"
"THS","F","Y_GE50","R","BG","2013Q1",NA
"THS","F","Y_GE50","S","BG","2013Q1",NA
"THS","F","Y_GE50","T","BG","2013Q1",NA
"THS","F","Y_GE50","TOTAL","BG","2013Q1",16
"THS","F","Y_GE65","A","BG","2013Q1",NA
"THS","F","Y_GE65","C","BG","2013Q1",NA
"THS","F","Y_GE65","E","BG","2013Q1",NA
"THS","F","Y_GE65","G","BG","2013Q1",NA
"THS","F","Y_GE65","H","BG","2013Q1",NA
"THS","F","Y_GE65","I","BG","2013Q1",NA
"THS","F","Y_GE65","J","BG","2013Q1",NA
"THS","F","Y_GE65","K","BG","2013Q1",NA
"THS","F","Y_GE65","L","BG","2013Q1",NA
"THS","F","Y_GE65","M","BG","2013Q1",NA
"THS","F","Y_GE65","N","BG","2013Q1",NA
"THS","F","Y_GE65","O","BG","2013Q1",NA
"THS","F","Y_GE65","P","BG","2013Q1",NA
"THS","F","Y_GE65","Q","BG","2013Q1",NA
"THS","F","Y_GE65","R","BG","2013Q1",NA
"THS","F","Y_GE65","S","BG","2013Q1",NA
"THS","F","Y_GE65","T","BG","2013Q1",NA
"THS","F","Y_GE65","TOTAL","BG","2013Q1",NA
"THS","F","Y_GE75","A","BG","2013Q1",NA
"THS","F","Y_GE75","G","BG","2013Q1",NA
"THS","F","Y_GE75","I","BG","2013Q1",NA
"THS","F","Y_GE75","J","BG","2013Q1",NA
"THS","F","Y_GE75","M","BG","2013Q1",NA
"THS","F","Y_GE75","P","BG","2013Q1",NA
"THS","F","Y_GE75","TOTAL","BG","2013Q1",NA
"THS","M","Y15-19","A","BG","2013Q1",NA
"THS","M","Y15-19","B","BG","2013Q1",NA
"THS","M","Y15-19","C","BG","2013Q1",NA
"THS","M","Y15-19","E","BG","2013Q1",NA
"THS","M","Y15-19","F","BG","2013Q1",NA
"THS","M","Y15-19","G","BG","2013Q1",NA
"THS","M","Y15-19","H","BG","2013Q1",NA
"THS","M","Y15-19","I","BG","2013Q1",NA
"THS","M","Y15-19","J","BG","2013Q1",NA
"THS","M","Y15-19","N","BG","2013Q1",NA
"THS","M","Y15-19","O","BG","2013Q1",NA
"THS","M","Y15-19","P","BG","2013Q1",NA
"THS","M","Y15-19","Q","BG","2013Q1",NA
"THS","M","Y15-19","R","BG","2013Q1",NA
"THS","M","Y15-19","S","BG","2013Q1",NA
"THS","M","Y15-19","T","BG","2013Q1",NA
